Amp                      Mask
1.431483554881207567e+02 0.000000000000000000e+00
1.441105143740507231e+02 0.000000000000000000e+00
1.406743890082302642e+02 0.000000000000000000e+00
1.303312525604120253e+02 0.000000000000000000e+00
1.435430994065575874e+02 0.000000000000000000e+00
1.619679551159456139e+02 0.000000000000000000e+00
1.723800900113998296e+02 0.000000000000000000e+00
1.514019182025323005e+02 0.000000000000000000e+00
1.410113572728739371e+02 0.000000000000000000e+00
1.404326401888471025e+02 0.000000000000000000e+00
1.385508330940600104e+02 0.000000000000000000e+00
1.419874270855547991e+02 0.000000000000000000e+00
1.436294667365198734e+02 0.000000000000000000e+00
1.359747471877151099e+02 0.000000000000000000e+00
1.321289222524154923e+02 0.000000000000000000e+00
1.457030368213029305e+02 0.000000000000000000e+00
1.465065283280758308e+02 0.000000000000000000e+00
1.416098269563876784e+02 0.000000000000000000e+00
1.447733595320130178e+02 0.000000000000000000e+00
1.411492667714097422e+02 0.000000000000000000e+00
1.403720335777612149e+02 0.000000000000000000e+00
1.323713380041470487e+02 0.000000000000000000e+00
1.348159439125890628e+02 0.000000000000000000e+00
1.320269192459112730e+02 0.000000000000000000e+00
1.403695878863766779e+02 0.000000000000000000e+00
1.467585230831936940e+02 0.000000000000000000e+00
1.355355620617779095e+02 0.000000000000000000e+00
1.421013406582440837e+02 0.000000000000000000e+00
1.322331406200090100e+02 0.000000000000000000e+00
1.350239484101067262e+02 0.000000000000000000e+00
1.685941691306208838e+02 0.000000000000000000e+00
2.036158014700456249e+02 0.000000000000000000e+00
1.930792391475973773e+02 0.000000000000000000e+00
1.659056338477059001e+02 0.000000000000000000e+00
1.292620620253701986e+02 0.000000000000000000e+00
1.318414880489368954e+02 0.000000000000000000e+00
1.456209015248991534e+02 0.000000000000000000e+00
1.301771644015407787e+02 0.000000000000000000e+00
1.329671287745330517e+02 0.000000000000000000e+00
1.385086149398532314e+02 0.000000000000000000e+00
1.323152755345709011e+02 0.000000000000000000e+00
1.271639160427542379e+02 0.000000000000000000e+00
1.411388833030619594e+02 0.000000000000000000e+00
1.299647400929078174e+02 0.000000000000000000e+00
1.390183434506407991e+02 0.000000000000000000e+00
1.416071389871865165e+02 0.000000000000000000e+00
1.330467528592663200e+02 0.000000000000000000e+00
1.424211292911616056e+02 0.000000000000000000e+00
1.376813340516611959e+02 0.000000000000000000e+00
1.395257337429857216e+02 0.000000000000000000e+00
1.310845879723090945e+02 0.000000000000000000e+00
1.332943118186722700e+02 0.000000000000000000e+00
1.542489492352454477e+02 0.000000000000000000e+00
1.441205193958390680e+02 0.000000000000000000e+00
1.397358615675932185e+02 0.000000000000000000e+00
1.413533668369021257e+02 0.000000000000000000e+00
1.464082317742307282e+02 0.000000000000000000e+00
